inventor_id,name,country
fl:we_ln:jiang-165,Wenjing Jiang,CN
fl:mo_ln:narasaiah-1,Mohan Narasaiah,IN
fl:ch_ln:liu-1379,Chaopeng Liu,CN
fl:ca_ln:zimmerman-4,Carey W. Zimmerman,US
fl:ta_ln:nara-5,Takashi Nara,JP
fl:er_ln:townsend-4,Eric Christopher TOWNSEND,US
fl:an_ln:tang-15,Andrew T. K. Tang,US
fl:ky_ln:lee-627,Kyudae Lee,KR
fl:an_ln:besana-1,Andrea Besana,IT
fl:cu_ln:chen-26,Cuihong Chen,CN
fl:zh_ln:shi-37,Zhifeng SHI,CN
fl:ju_ln:sauer-5,Jude S. Sauer,US
fl:ji_ln:wu-468,Jianlong Wu,CN
fl:ch_ln:su-187,Cheng-Wei Su,TW
fl:ji_ln:tong-21,Jiancheng Tong,CN
fl:ji_ln:zhu-407,Jiarui Zhu,CN
fl:ja_ln:gilley-1,Jason Corbett Gilley,US
fl:we_ln:yan-44,Wei Yan,CN
fl:mo_ln:anderson-3,Molly Anderson,US
fl:kj_ln:ekman-2,Kjell Ferdinand Ekman,US
fl:wi_ln:breimeier-1,Witalij Breimeier,DE
fl:jo_ln:bouharb-1,Joseph Bou Harb,CA
fl:ji_ln:yong-12,Jinfeng Yong,US
fl:pe_ln:chaikowsky-1,Peter Chaikowsky,US
fl:xi_ln:liu-268,Xiaorong Liu,CN
fl:ki_ln:heikkinen-1,Kim Heikkinen,FI
fl:so_ln:hermansson-2,Sofia Hermansson,SE
fl:fa_ln:pundole-2,Faraidoon Pundole,US
fl:cl_ln:messale-1,Claudio Messale,DE
fl:zh_ln:tang-30,Zhenqi Tang,CN
fl:au_ln:montierth-1,Austin Montierth,US
fl:mi_ln:diehl-2,Michael William Diehl,US
fl:ji_ln:huang-365,Jiacheng Huang,CN
fl:ch_ln:smiechowski-1,Christina J. Smiechowski,US
002qjgaii95dovcd12hc14bpc,Camille Colette Pierrette Leclerco,AE
fl:ji_ln:wang-737,Jianglin Wang,CN
fl:ry_ln:hanuschak-1,Ryan D. Hanuschak,US
fl:sa_ln:oda-6,Satoshi Oda,JP
fl:st_ln:hullverson-1,Stephanie Hullverson,US
fl:ji_ln:son-2,Ji Won Son,KR
fl:ti_ln:desplaines-1,Timothy Scott Desplaines,US
fl:ke_ln:lobb-1,Kenneth Alan Lobb,US
fl:sh_ln:eguchi-6,Shigenobu Eguchi,JP
fl:na_ln:kondamuri-1,Nathan Kondamuri,US
fl:xe_ln:vang-1,Xeng Xue Vang,US
fl:mi_ln:kim-154,Min Kim,KR
fl:ji_ln:luo-68,Jialong Luo,CN
fl:wi_ln:avent-1,William Avent,US
fl:wa_ln:nemeh-1,Wadi Nemeh,US
fl:yu_ln:xiao-62,Yungen Xiao,CN
fl:ke_ln:foster-1,Kelcy Jake Foster,US
003g2qbzflf1q341b9bpeaec0,Nataliya Dolhova,CA
fl:ke_ln:xie-4,Kevin Xie,US
fl:kl_ln:bischoff-1,Klaus Bischoff,DE
fl:ch_ln:wang-1513,Chunhuai Wang,CN
fl:ka_ln:quist-2,Karl QUIST,US
fl:do_ln:kang-53,Dong Woo Kang,KR
fl:qi_ln:jin-35,Qiuwang Jin,CN
fl:al_ln:au-6,Alan C. Au,US
fl:da_ln:wang-182,Danni Wang,CN
fl:gu_ln:cao-38,Guohua Cao,US
fl:ry_ln:kallas-1,Ryan Kallas,US
fl:ry_ln:byrd-1,Ryan Christopher Byrd,US
fl:na_ln:scanlon-1,Nathan Scanlon,AU
fl:je_ln:bataillou-1,Jeremy Bataillou,US
fl:ja_ln:oman-1,Jamie D. Oman,US
fl:br_ln:babic-4,Branko Babic,RS
fl:at_ln:yokoi-4,Atsushi Yokoi,JP
fl:yu_ln:chu-125,Yu-Chen Chu,TW
fl:ch_ln:li-310,Chun Li,CN
fl:sa_ln:bartys-1,Samuel L. Bartys,GB
fl:wi_ln:young-9,William Wai-Loong Young,US
fl:zh_ln:li-673,Zhenyu Li,US
fl:wi_ln:moore-4,William K. Moore,US
fl:sh_ln:llamido-1,Sherwin Llamido,US
fl:ji_ln:liu-512,Jinbo Liu,CN
fl:sa_ln:nate-1,Satoru Nate,JP
fl:ka_ln:lu-39,Kaijie Lu,CN
fl:da_ln:mihranian-1,Daniela Mihranian,GB
fl:ca_ln:haire-1,Caroline Rose Haire,US
fl:pe_ln:russellclarke-2,Peter Russell-Clarke,US
fl:fi_ln:lesecq-1,Fiona L. Lesecq,US
fl:zh_ln:lin-77,Zhi-An Lin,US
fl:ma_ln:calkins-1,Mary M. Calkins,US
fl:kh_ln:duong-4,Khoa Duong,US
fl:he_ln:kihl-1,Hewon Kihl,KR
fl:ga_ln:zheng-1,Ganxing Zheng,US
fl:hi_ln:endo-35,Hiroki Endo,JP
fl:ri_ln:tang-3,Richard Tang,US
005wxbczjyfnwrubv15gtlbn3,Tony Shumskas,US
fl:be_ln:dinvald-1,Beth Dinvald,US
fl:tr_ln:storch-1,Troy Storch,US
fl:an_ln:he-11,Anqi He,US
fl:ju_ln:kim-343,Jungryul Kim,KR
fl:hu_ln:wang-152,Hua Wang,US
fl:te_ln:connor-2,Teofila Connor,US
fl:zh_ln:liang-76,Zhixian Liang,CN
fl:ul_ln:bautista-1,Ulises Hernando Bautista,US
fl:ju_ln:fest-1,Julian Fest,DE
fl:m._ln:hankey-2,M. Evans Hankey,US
fl:ar_ln:viger-2,Arthur Viger,US
fl:su_ln:chung-57,Sungjae Chung,KR
fl:be_ln:gadea-1,Bedrick Gadea,US
fl:wi_ln:martin-5,William Roth Martin,US
fl:ma_ln:moneypenny-2,Mark Joseph Moneypenny,US
fl:yu_ln:sun-251,Yuhan Sun,CN
fl:ev_ln:torchin-1,Evan Torchin,US
fl:ja_ln:lim-121,Jaewon Lim,KR
fl:ch_ln:cornish-1,Charles Cornish,US
fl:xi_ln:qiu-72,Xiaoyuan QIU,CN
fl:ji_ln:min-39,Jinki Min,KR
fl:da_ln:sterling-1,Daniel Peter Sterling,US
fl:li_ln:reed-2,Lindsay Reed,US
fl:ri_ln:ortiz-1,Ricardo Ortiz,US
fl:br_ln:shova-5,Bryan Shova,US
fl:je_ln:hontz-4,Jeffrey W. Hontz,US
